State code,State name,Year,Planted area (ha)
BR-TO,Tocantins,2006,13901
BR-AP,Amapa,2006,78963
BR-MA,Maranhao,2006,93285
BR-GO,Goias,2006,113174
BR-MT,Mato Grosso,2006,113777
BR-PA,Para,2006,115955
BR-MT,Mato Grosso do Sul,2006,147819
BR-ES,Espirito Santo,2006,212208
BR-RS,Rio Grande do Sul,2006,365623
BR-BA,Bahia,2006,594992
BR-SC,Santa Catarina,2006,601333
BR-PR,Parana,2006,808361
BR-SP,Sao Paulo,2006,1130332
BR-MG,Minas Gerais,2006,1327429
BR-TO,Tocantins,2007,22355
BR-AP,Amapa,2007,67874
BR-MA,Maranhao,2007,106802
BR-MT,Mato Grosso,2007,114861
BR-GO,Goias,2007,115860
BR-PA,Para,2007,126387
BR-ES,Espirito Santo,2007,212912
BR-MT,Mato Grosso do Sul,2007,228384
BR-RS,Rio Grande do Sul,2007,404623
BR-BA,Bahia,2007,591348
BR-SC,Santa Catarina,2007,622045
BR-PR,Parana,2007,824648
BR-SP,Sao Paulo,2007,1121529
BR-MG,Minas Gerais,2007,1361607
BR-TO,Tocantins,2008,32770
BR-AP,Amapa,2008,64930
BR-MA,Maranhao,2008,111120
BR-GO,Goias,2008,128377
BR-MT,Mato Grosso,2008,132932
BR-PA,Para,2008,136300
BR-ES,Espirito Santo,2008,214400
BR-MT,Mato Grosso do Sul,2008,284050
BR-RS,Rio Grande do Sul,2008,450480
BR-BA,Bahia,2008,622700
BR-SC,Santa Catarina,2008,628660
BR-PR,Parana,2008,857320
BR-SP,Sao Paulo,2008,1173560
BR-MG,Minas Gerais,2008,1423210
BR-TO,Tocantins,2009,45160
BR-AP,Amapa,2009,63690
BR-GO,Goias,2009,130486
BR-MA,Maranhao,2009,137360
BR-PA,Para,2009,139720
BR-MT,Mato Grosso,2009,147388
BR-ES,Espirito Santo,2009,208510
BR-MT,Mato Grosso do Sul,2009,307760
BR-RS,Rio Grande do Sul,2009,443190
BR-SC,Santa Catarina,2009,650990
BR-BA,Bahia,2009,659480
BR-PR,Parana,2009,853710
BR-SP,Sao Paulo,2009,1197330
BR-MG,Minas Gerais,2009,1440000
BR-PI,Piaui,2010,37025
BR-TO,Tocantins,2010,48392
BR-AP,Amapa,2010,49384
BR-GO,Goias,2010,128599
BR-ES,Espirito Santo,2010,207431
BR-MA,Maranhao,2010,302049
BR-PA,Para,2010,310078
BR-MT,Mato Grosso do Sul,2010,392042
BR-RS,Rio Grande do Sul,2010,441997
BR-SC,Santa Catarina,2010,647991
BR-BA,Bahia,2010,658034
BR-PR,Parana,2010,847931
BR-SP,Sao Paulo,2010,1206818
BR-MG,Minas Gerais,2010,1536310
BR-PI,Piaui,2011,26493
BR-AP,Amapa,2011,50544
BR-TO,Tocantins,2011,66352
BR-GO,Goias,2011,129396
BR-PA,Para,2011,151378
BR-MA,Maranhao,2011,165717
BR-MT,Mato Grosso,2011,175592
BR-ES,Espirito Santo,2011,200058
BR-RS,Rio Grande do Sul,2011,445004
BR-MT,Mato Grosso do Sul,2011,487399
BR-BA,Bahia,2011,628960
BR-SC,Santa Catarina,2011,642940
BR-PR,Parana,2011,846860
BR-SP,Sao Paulo,2011,1188403
BR-MG,Minas Gerais,2011,1477195
BR-PI,Piaui,2012,27730
BR-AP,Amapa,2012,49951
BR-TO,Tocantins,2012,109853
BR-GO,Goias,2012,131999
BR-PA,Para,2012,159657
BR-MA,Maranhao,2012,173324
BR-MT,Mato Grosso,2012,184628
BR-ES,Espirito Santo,2012,205895
BR-RS,Rio Grande do Sul,2012,449533
BR-MT,Mato Grosso do Sul,2012,597135
BR-BA,Bahia,2012,616694
BR-SC,Santa Catarina,2012,645965
BR-PR,Parana,2012,817566
BR-SP,Sao Paulo,2012,1186497
BR-MG,Minas Gerais,2012,1491681
BR-PI,Piaui,2013,28053
BR-AP,Amapa,2013,57614
BR-TO,Tocantins,2013,111740
BR-GO,Goias,2013,130526
BR-PA,Para,2013,159657
BR-MT,Mato Grosso,2013,187090
BR-MA,Maranhao,2013,209249
BR-ES,Espirito Santo,2013,224360
BR-RS,Rio Grande do Sul,2013,480620
BR-BA,Bahia,2013,631269
BR-SC,Santa Catarina,2013,647887
BR-MT,Mato Grosso do Sul,2013,707458
BR-PR,Parana,2013,862769
BR-SP,Sao Paulo,2013,1138137
BR-MG,Minas Gerais,2013,1451236
BR-PI,Piaui,2014,31212
BR-AP,Amapa,2014,60025
BR-TO,Tocantins,2014,115994
BR-PA,Para,2014,125110
BR-GO,Goias,2014,133384
BR-MT,Mato Grosso,2014,187090
BR-MA,Maranhao,2014,211334
BR-ES,Espirito Santo,2014,231441
BR-RS,Rio Grande do Sul,2014,493710
BR-BA,Bahia,2014,637307
BR-SC,Santa Catarina,2014,654106
BR-MT,Mato Grosso do Sul,2014,810834
BR-PR,Parana,2014,897858
BR-SP,Sao Paulo,2014,1100182
BR-MG,Minas Gerais,2014,1439906
BR-PI,Piaui,2015,29333
BR-AP,Amapa,2015,63026
BR-TO,Tocantins,2015,116630
BR-PA,Para,2015,130431
BR-GO,Goias,2015,135770
BR-MT,Mato Grosso,2015,185219
BR-MA,Maranhao,2015,210496
BR-ES,Espirito Santo,2015,229935
BR-RS,Rio Grande do Sul,2015,493118
BR-BA,Bahia,2015,617761
BR-SC,Santa Catarina,2015,658912
BR-MT,Mato Grosso do Sul,2015,832323
BR-PR,Parana,2015,956031
BR-SP,Sao Paulo,2015,1100835
BR-MG,Minas Gerais,2015,1432668
BR-PI,Piaui,2016,26068
BR-AP,Amapa,2016,65026
BR-TO,Tocantins,2016,116998
BR-PA,Para,2016,133996
BR-GO,Goias,2016,135701
BR-MT,Mato Grosso,2016,185219
BR-MA,Maranhao,2016,221859
BR-ES,Espirito Santo,2016,236260
BR-RS,Rio Grande do Sul,2016,492773
BR-BA,Bahia,2016,615500
BR-SC,Santa Catarina,2016,662075
BR-MT,Mato Grosso do Sul,2016,883647
BR-PR,Parana,2016,966657
BR-SP,Sao Paulo,2016,1070303
BR-MG,Minas Gerais,2016,1426796
